Processes,Latency
2,0.15
4,0.15
6,0.33
8,0.83
10,1.35
12,1.22
14,1.16
16,1.26
18,1.94
20,1.91
22,1.90
24,1.90
26,1.99
28,1.94
30,1.96
32,1.88
34,2.66
36,2.85
38,2.87
40,3.22
42,2.83
44,2.93
46,3.17
48,3.24
50,3.15
52,3.30
54,3.36
56,3.38
58,3.47
60,3.82
62,3.66
64,3.41
66,3.17
68,4.02
70,4.44
72,4.33
74,4.52
76,4.77
78,4.77
80,4.92
82,5.04
84,5.70
86,5.83
88,5.87
90,6.71
92,6.12
94,7.10
96,6.78
98,6.86
100,7.29
102,6.54
104,7.41
106,7.00
108,7.51
110,7.56
112,7.12
114,7.34
116,7.90
118,7.77
120,7.99
122,7.81
124,8.31
126,8.27
128,7.85
130,6.55
132,7.04
134,7.32
136,7.27
138,7.73
140,7.75
142,9.09
144,9.88
146,11.00
148,10.37
150,10.91
152,10.31
154,10.35
156,10.99
158,11.37
160,13.51
162,15.12
164,15.54
166,15.22
168,15.74
170,15.39
172,12.95
174,12.85
176,12.19
178,12.31
180,12.05
182,12.72
184,12.60
186,12.84
188,13.56
190,13.48
192,13.16
194,13.56
196,14.00
198,13.75
200,14.43
202,13.90
204,14.43
206,14.41
208,14.69
210,14.83
212,15.44
214,15.32
216,16.94
218,16.23
220,17.53
222,17.90
224,16.87
226,17.55
228,17.56
230,16.92
232,17.89
234,17.55
236,18.76
238,19.89
240,19.94
242,19.53
244,20.54
246,21.40
248,21.94
250,21.23
252,22.41
254,19.94

