Processes,Size,Latency
2,2,0.16
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.16
2,64,0.16
2,128,0.25
2,256,0.25
2,512,0.29
2,1024,0.32
2,2048,0.36
2,4096,0.48
2,8192,0.70
2,16384,1.34
2,32768,2.44
2,65536,4.48
2,131072,9.08
2,262144,28.38
2,524288,57.32
4,2,0.62
4,4,0.62
4,8,0.62
4,16,0.67
4,32,0.70
4,64,1.10
4,128,1.16
4,256,1.27
4,512,1.44
4,1024,1.85
4,2048,2.56
4,4096,3.76
4,8192,6.46
4,16384,11.15
4,32768,22.16
4,65536,41.52
4,131072,68.08
4,262144,133.58
4,524288,266.59
8,2,1.67
8,4,1.69
8,8,1.79
8,16,1.75
8,32,2.29
8,64,2.46
8,128,2.92
8,256,3.22
8,512,3.83
8,1024,5.01
8,2048,7.03
8,4096,11.03
8,8192,18.71
8,16384,33.82
8,32768,60.91
8,65536,74.74
8,131072,188.22
8,262144,396.30
8,524288,740.73
16,2,1.96
16,4,2.21
16,8,2.37
16,16,2.51
16,32,2.86
16,64,3.19
16,128,3.71
16,256,4.17
16,512,5.14
16,1024,7.27
16,2048,11.17
16,4096,18.80
16,8192,33.84
16,16384,61.43
16,32768,95.01
16,65536,260.61
16,131072,518.38
16,262144,1068.59
16,524288,1953.50
32,2,2.38
32,4,2.67
32,8,2.75
32,16,3.19
32,32,3.69
32,64,3.96
32,128,4.60
32,256,5.64
32,512,7.70
32,1024,11.47
32,2048,19.60
32,4096,32.44
32,8192,60.91
32,16384,117.31
32,32768,226.70
32,65536,505.24
32,131072,1272.02
32,262144,2106.99
32,524288,4043.61
64,2,1.79
64,4,1.85
64,8,2.13
64,16,2.39
64,32,2.76
64,64,3.38
64,128,3.95
64,256,5.45
64,512,8.02
64,1024,13.21
64,2048,21.14
64,4096,37.45
64,8192,82.56
64,16384,132.47
64,32768,255.31
64,65536,502.20
64,131072,1014.54
64,262144,2098.50
64,524288,4172.30
128,2,6.57
128,4,6.17
128,8,6.23
128,16,6.33
128,32,6.18
128,64,6.90
128,128,8.01
128,256,10.89
128,512,15.63
128,1024,23.90
128,2048,42.04
128,4096,97.45
128,8192,147.02
128,16384,275.47
128,32786,540.90
128,65536,1070.20
128,131072,2131.89
128,262144,4268.56
128,524288,23115.78
256,2,1.69
256,4,1.99
256,8,2.67
256,16,3.89
256,32,4.78
256,64,6.70
256,128,11.02
256,256,15.90
256,512,26.59
256,1024,47.90
256,2048,101.54
256,4096,150.03
256,8192,289.04
256,16384,562.90
256,32786,1147.60
256,65536,2240.02
256,131072,4455.67
256,262144,23902.45
256,524288,60481.60
