size,bintree,chain,flat,bcast,OSU_bintree,OSU_chain,OSU_flat
2,5.261865,25.969386,10.493815,4.731382,3.69,4.93,5.2
4,6.239707,27.483273,9.910682,6.014193,3.03,4.69,5.13
8,10.162363,53.624751,13.719867,7.295029,3.07,4.72,5.21
16,5.887697,36.647895,11.053233,5.486559,3.05,4.67,5.21
32,8.357623,63.530850,16.802356,6.380026,3.4,6.49,5.51
64,8.688497,60.955728,16.615664,6.786061,3.64,6.06,5.53
128,9.626655,67.159420,17.584977,7.429985,4.53,9.39,10.44
256,11.471558,80.299825,22.761005,8.987478,4.83,9.88,10.89
512,14.667818,104.251379,34.707109,15.801020,5.11,10.81,11.22
1024,21.589604,143.763777,49.884345,15.013461,6.35,12.92,15.51
2048,35.199895,215.458258,75.945197,20.708442,8.26,16.9,20.21
4096,58.607406,331.499436,137.011828,35.900326,12.34,23.34,27.49
8192,103.766382,545.095855,255.820111,55.028233,19.68,36.24,42.8
16384,192.935536,981.073080,506.554950,97.381419,34.58,63.15,32.79
32768,366.016734,1873.374115,1037.130305,201.165485,56.05,98.59,53.66
65536,696.848505,2840.739358,2557.164256,370.862135,101.02,165.16,110.21
131072,1360.549834,5502.355371,4870.361491,784.395804,231.54,306.84,253.97
262144,2814.007457,11326.533125,9259.908055,1372.980184,446.85,569.52,471.93
524288,6109.908974,24322.875851,17250.393665,2835.837241,914.24,1131.44,1019.19
1048576,13488.387444,56047.925166,34449.601870,5908.028713,1771.38,2156.1,1963.32



