processes,size,bintree,chain,flat,bcast,OSU_bintree,OSU_chain,OSU_flat
2,1024,1.330215,1.419546,1.416925,1.452300,0.43,0.44,0.42
4,1024,4.879140,8.821128,5.544099,4.991244,1.58,1.62,1.55
6,1024,7.027101,14.261890,7.335714,5.253916,2.1,2.62,2.33
8,1024,6.876052,20.084201,10.792930,6.182219,2.33,3.66,3.49
10,1024,10.177413,26.655472,13.346417,6.980873,2.81,3.34,4.64
12,1024,10.484159,33.107738,15.856216,7.381299,2.93,4.3,5.09
14,1024,11.726295,40.264461,18.662738,8.737407,2.99,4.77,5.8
16,1024,11.832352,48.284864,24.639345,9.360889,2.95,5.55,6.54
18,1024,12.289077,52.808635,24.480165,8.303968,3.31,5.4,7.41
20,1024,12.129564,58.113506,27.200090,8.542337,3.44,6.11,8.02
22,1024,14.167782,63.908046,29.056937,8.373532,3.45,6.92,8.63
24,1024,14.631778,70.458512,32.006607,8.783621,3.46,7.6,9.31
26,1024,16.241079,77.022570,34.818953,9.565868,3.48,6.73,9.59
28,1024,16.603198,83.443644,35.375004,10.282413,3.47,7.27,10.12
30,1024,16.367292,89.990125,36.381261,10.613715,3.42,7.59,10.3
32,1024,59.016197,97.093600,40.358324,18.801264,4.35,8.9,11.86
34,1024,28.885833,103.832100,40.107102,15.836091,6.23,10.46,13.87
36,1024,40.527890,110.785424,42.486908,16.332716,6.21,11.3,14.12
38,1024,24.369878,117.234158,43.776377,16.064508,6.24,11.44,14.25
40,1024,32.447280,124.216579,45.556735,16.984995,6.34,12.23,14.75
42,1024,21.884317,135.684312,47.280149,16.895189,6.25,11.37,14.59
44,1024,26.545576,143.669857,51.552537,17.192626,6.23,12.0,14.73
46,1024,26.937359,162.502136,52.683056,20.230095,6.32,12.48,15.19
48,1024,27.288847,170.014539,55.765370,26.334527,6.35,12.92,15.51
