Processes,Latency
2,0.17
4,0.37
6,0.62
8,1.15
10,1.41
12,1.49
14,1.49
16,1.76
18,2.09
20,2.20
22,2.27
24,2.45
26,2.21
28,2.23
30,2.31
32,3.35
34,5.05
36,5.00
38,4.98
40,5.09
42,5.07
44,4.99
46,5.20
48,5.19
2,0.18
4,0.33
6,0.62
8,1.08
10,1.44
12,1.46
14,1.54
16,1.74
18,2.08
20,2.17
22,2.21
24,2.38
26,2.23
28,2.25
30,2.29
32,3.27
34,5.15
36,5.04
38,5.01
40,5.05
42,5.00
44,4.97
46,5.13
48,5.14
2,0.20
4,0.57
6,0.87
8,0.95
10,1.18
12,1.17
14,1.13
16,1.25
18,1.48
20,1.47
22,1.39
24,1.45
26,1.49
28,1.49
30,1.59
32,1.94
34,3.89
36,3.50
38,3.46
40,3.28
42,3.28
44,3.14
46,3.10
48,3.00
