Processes,Size,Latency
2,1,0.19
2,2,0.19
2,4,0.22
2,8,0.18
2,16,0.18
2,32,0.24
2,64,0.25
2,128,0.31
2,256,0.33
2,512,0.32
2,1024,0.43
2,2048,0.54
2,4096,0.84
2,8192,1.36
2,16384,3.10
4,1,0.32
4,2,0.32
4,4,0.32
4,8,0.31
4,16,0.38
4,32,0.63
4,64,0.52
4,128,1.02
4,256,1.10
4,512,1.33
4,1024,1.56
4,2048,2.49
4,4096,3.73
4,8192,5.96
4,16384,8.78
6,1,0.66
6,2,0.63
6,4,0.62
6,8,0.63
6,16,0.62
6,32,0.68
6,64,0.72
6,128,1.59
6,256,1.66
6,512,1.87
6,1024,2.30
6,2048,3.33
6,4096,5.33
6,8192,7.83
6,16384,10.88
8,1,1.14
8,2,1.21
8,4,1.17
8,8,1.16
8,16,1.15
8,32,1.31
8,64,1.30
8,128,2.55
8,256,2.57
8,512,2.71
8,1024,3.50
8,2048,4.58
8,4096,6.62
8,8192,10.10
8,16384,13.52
10,1,1.43
10,2,1.40
10,4,1.45
10,8,1.43
10,16,1.39
10,32,1.61
10,64,1.68
10,128,3.08
10,256,3.12
10,512,3.36
10,1024,4.59
10,2048,5.77
10,4096,7.96
10,8192,12.46
10,16384,15.82
12,1,1.48
12,2,1.48
12,4,1.43
12,8,1.43
12,16,1.51
12,32,1.72
12,64,1.56
12,128,3.25
12,256,3.36
12,512,3.66
12,1024,5.15
12,2048,6.57
12,4096,9.03
12,8192,13.66
12,16384,18.74
14,1,1.54
14,2,1.51
14,4,1.44
14,8,1.46
14,16,1.46
14,32,1.76
14,64,1.59
14,128,3.62
14,256,3.71
14,512,4.06
14,1024,5.77
14,2048,7.03
14,4096,9.99
14,8192,15.29
14,16384,19.80
16,1,1.75
16,2,1.82
16,4,1.75
16,8,1.81
16,16,1.76
16,32,2.21
16,64,2.04
16,128,4.26
16,256,4.52
16,512,4.62
16,1024,6.52
16,2048,8.14
16,4096,11.25
16,8192,17.27
16,16384,22.70
18,1,1.98
18,2,2.08
18,4,2.05
18,8,2.06
18,16,2.25
18,32,2.25
18,64,2.21
18,128,4.69
18,256,4.97
18,512,5.20
18,1024,7.44
18,2048,9.11
18,4096,12.58
18,8192,19.61
18,16384,25.80
20,1,2.20
20,2,2.16
20,4,2.19
20,8,2.34
20,16,2.20
20,32,2.38
20,64,2.35
20,128,5.10
20,256,5.25
20,512,5.50
20,1024,7.91
20,2048,9.83
20,4096,13.71
20,8192,21.06
20,16384,28.62
22,1,2.26
22,2,2.21
22,4,2.27
22,8,2.37
22,16,2.26
22,32,2.50
22,64,2.37
22,128,5.40
22,256,5.58
22,512,6.08
22,1024,8.50
22,2048,10.49
22,4096,15.00
22,8192,23.32
22,16384,31.75
24,1,2.45
24,2,2.49
24,4,2.51
24,8,2.61
24,16,2.43
24,32,2.70
24,64,2.56
24,128,5.96
24,256,6.00
24,512,6.40
24,1024,9.35
24,2048,11.45
24,4096,15.94
24,8192,24.52
24,16384,35.26
26,1,2.12
26,2,2.36
26,4,2.30
26,8,2.15
26,16,2.22
26,32,2.43
26,64,2.43
26,128,5.93
26,256,6.21
26,512,6.67
26,1024,9.64
26,2048,11.94
26,4096,17.28
26,8192,25.60
26,16384,32.72
28,1,2.25
28,2,2.25
28,4,2.27
28,8,2.30
28,16,2.32
28,32,2.50
28,64,2.50
28,128,6.13
28,256,6.39
28,512,6.65
28,1024,10.09
28,2048,12.58
28,4096,17.87
28,8192,27.79
28,16384,28.48
30,1,2.25
30,2,2.25
30,4,2.31
30,8,2.29
30,16,2.31
30,32,2.49
30,64,2.55
30,128,6.33
30,256,6.62
30,512,7.14
30,1024,10.42
30,2048,13.34
30,4096,18.51
30,8192,29.43
30,16384,29.41
32,1,3.24
32,2,3.26
32,4,3.34
32,8,3.29
32,16,3.31
32,32,3.79
32,64,3.75
32,128,7.66
32,256,7.88
32,512,8.47
32,1024,11.74
32,2048,15.03
32,4096,20.47
32,8192,31.52
32,16384,27.79
34,1,5.06
34,2,5.44
34,4,5.15
34,8,5.19
34,16,5.08
34,32,5.41
34,64,5.33
34,128,9.53
34,256,9.78
34,512,10.32
34,1024,13.77
34,2048,16.93
34,4096,23.39
34,8192,33.80
34,16384,30.45
36,1,5.06
36,2,5.23
36,4,5.03
36,8,5.05
36,16,5.11
36,32,5.36
36,64,5.29
36,128,9.55
36,256,9.90
36,512,10.34
36,1024,13.88
36,2048,17.79
36,4096,23.59
36,8192,35.02
36,16384,31.34
38,1,5.01
38,2,5.17
38,4,5.09
38,8,5.10
38,16,5.00
38,32,5.36
38,64,5.36
38,128,9.87
38,256,10.18
38,512,10.70
38,1024,14.18
38,2048,18.38
38,4096,25.19
38,8192,36.34
38,16384,30.50
40,1,5.09
40,2,5.14
40,4,5.05
40,8,5.08
40,16,5.03
40,32,5.34
40,64,5.41
40,128,9.91
40,256,10.54
40,512,10.90
40,1024,14.78
40,2048,18.55
40,4096,25.64
40,8192,38.42
40,16384,30.91
42,1,4.95
42,2,5.05
42,4,5.02
42,8,5.11
42,16,5.14
42,32,5.37
42,64,5.43
42,128,9.98
42,256,10.49
42,512,10.84
42,1024,14.71
42,2048,18.65
42,4096,25.87
42,8192,39.09
42,16384,31.00
44,1,4.96
