Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.19
2,16,0.20
2,32,0.26
2,64,0.26
2,128,0.32
2,256,0.33
2,512,0.35
2,1024,0.42
2,2048,0.53
2,4096,0.83
2,8192,1.33
2,16384,3.13
2,32768,5.11
2,65536,6.72
2,131072,9.93
2,262144,15.37
2,524288,28.34
2,1048576,62.08
4,2,0.52
4,4,0.53
4,8,0.54
4,16,0.54
4,32,0.85
4,64,0.80
4,128,1.08
4,256,1.15
4,512,1.29
4,1024,1.56
4,2048,2.44
4,4096,3.54
4,8192,5.92
4,16384,8.55
4,32768,12.82
4,65536,20.54
4,131072,35.44
4,262144,67.46
4,524288,153.22
4,1048576,486.05
6,2,0.82
6,4,0.80
6,8,0.82
6,16,0.82
6,32,0.97
6,64,0.91
6,128,1.50
6,256,1.62
6,512,1.74
6,1024,2.06
6,2048,3.04
6,4096,4.18
6,8192,8.23
6,16384,10.91
6,32768,18.35
6,65536,33.62
6,131072,68.97
6,262144,133.03
6,524288,268.17
6,1048576,979.45
8,2,0.89
8,4,0.93
8,8,0.93
8,16,0.95
8,32,1.28
8,64,1.09
8,128,1.88
8,256,1.95
8,512,2.11
8,1024,2.60
8,2048,3.43
8,4096,4.73
8,8192,7.12
8,16384,13.08
8,32768,23.13
8,65536,44.17
8,131072,84.43
8,262144,175.98
8,524288,349.58
8,1048576,540.19
10,2,1.08
10,4,1.11
10,8,1.19
10,16,1.25
10,32,1.47
10,64,1.25
10,128,2.13
10,256,2.07
10,512,2.27
10,1024,2.78
10,2048,3.59
10,4096,5.43
10,8192,8.04
10,16384,15.33
10,32768,26.53
10,65536,54.26
10,131072,101.93
10,262144,220.81
10,524288,369.35
10,1048576,766.91
12,2,0.99
12,4,1.05
12,8,1.17
12,16,1.17
12,32,1.48
12,64,1.26
12,128,2.24
12,256,2.08
12,512,2.30
12,1024,2.87
12,2048,3.71
12,4096,5.57
12,8192,8.39
12,16384,16.02
12,32768,32.42
12,65536,62.94
12,131072,127.27
12,262144,256.22
12,524288,526.86
12,1048576,844.35
14,2,1.03
14,4,0.94
14,8,1.13
14,16,1.17
14,32,1.53
14,64,1.37
14,128,2.02
14,256,2.09
14,512,2.24
14,1024,2.85
14,2048,3.77
14,4096,5.79
14,8192,8.80
14,16384,16.68
14,32768,35.45
14,65536,70.48
14,131072,148.11
14,262144,295.62
14,524288,588.06
14,1048576,1072.46
16,2,1.15
16,4,1.16
16,8,1.14
16,16,1.12
16,32,1.39
16,64,1.35
16,128,2.54
16,256,2.39
16,512,2.54
16,1024,3.10
16,2048,4.13
16,4096,5.67
16,8192,8.37
16,16384,18.41
16,32768,28.01
16,65536,50.38
16,131072,97.20
16,262144,193.34
16,524288,380.63
16,1048576,339.97
18,2,1.44
18,4,1.50
18,8,1.40
18,16,1.38
18,32,1.71
18,64,1.63
18,128,2.71
18,256,2.75
18,512,2.92
18,1024,3.57
18,2048,4.60
18,4096,6.23
18,8192,9.16
18,16384,18.12
18,32768,26.30
18,65536,54.18
18,131072,100.66
18,262144,196.52
18,524288,383.33
18,1048576,480.23
20,2,1.28
20,4,1.27
20,8,1.25
20,16,1.24
20,32,1.78
20,64,1.82
20,128,2.55
20,256,2.61
20,512,2.72
20,1024,3.42
20,2048,4.52
20,4096,6.03
20,8192,8.96
20,16384,18.58
20,32768,30.42
20,65536,56.31
20,131072,103.74
20,262144,209.22
20,524288,415.08
20,1048576,477.63
22,2,1.25
22,4,1.21
22,8,1.20
22,16,1.24
22,32,1.52
22,64,1.56
22,128,2.41
22,256,2.48
22,512,2.71
22,1024,3.39
22,2048,4.41
22,4096,6.21
22,8192,9.08
22,16384,18.97
22,32768,28.85
22,65536,57.16
22,131072,106.91
22,262144,212.33
22,524288,419.57
22,1048576,460.56
24,2,1.22
24,4,1.26
24,8,1.18
24,16,1.20
24,32,1.60
24,64,1.49
24,128,2.40
24,256,2.49
24,512,2.65
24,1024,3.38
24,2048,4.47
24,4096,6.40
24,8192,9.41
24,16384,19.31
24,32768,31.35
24,65536,58.61
24,131072,113.62
24,262144,201.99
24,524288,432.39
24,1048576,448.76
26,2,1.15
26,4,1.17
26,8,1.16
26,16,1.19
26,32,1.48
26,64,1.38
26,128,2.27
26,256,2.42
26,512,2.56
26,1024,3.59
26,2048,4.21
26,4096,6.21
26,8192,9.32
26,16384,19.32
26,32768,30.44
26,65536,58.55
26,131072,116.65
26,262144,221.71
26,524288,430.82
26,1048576,427.14
28,2,0.99
28,4,0.99
28,8,1.32
28,16,1.00
28,32,1.33
28,64,1.35
28,128,2.16
28,256,2.30
28,512,2.47
28,1024,3.16
28,2048,4.34
28,4096,6.36
28,8192,9.90
28,16384,20.42
28,32768,31.62
28,65536,59.88
28,131072,116.30
28,262144,221.06
28,524288,446.75
28,1048576,470.79
30,2,1.06
30,4,1.07
30,8,1.26
30,16,1.05
30,32,1.40
30,64,1.44
30,128,2.16
30,256,2.29
30,512,2.50
30,1024,3.18
30,2048,4.31
30,4096,6.32
30,8192,9.82
30,16384,20.88
30,32768,33.53
30,65536,62.19
30,131072,118.72
30,262144,224.70
30,524288,406.96
30,1048576,578.28
32,2,1.75
32,4,1.77
32,8,2.15
32,16,1.73
32,32,2.31
32,64,2.30
32,128,2.97
32,256,3.18
32,512,3.39
32,1024,3.97
32,2048,5.39
32,4096,8.07
32,8192,11.84
32,16384,23.44
32,32768,41.61
32,65536,77.73
32,131072,164.05
32,262144,304.98
32,524288,652.43
32,1048576,1096.87
34,2,3.78
34,4,4.11
34,8,3.74
34,16,3.76
34,32,4.16
34,64,4.12
34,128,4.89
34,256,5.06
34,512,5.42
34,1024,5.97
34,2048,7.57
34,4096,10.36
34,8192,14.41
34,16384,25.16
34,32768,38.70
34,65536,69.76
34,131072,160.68
34,262144,314.11
34,524288,632.79
34,1048576,1019.62
36,2,3.42
36,4,3.91
36,8,3.49
36,16,3.48
36,32,3.79
36,64,3.79
36,128,4.61
36,256,4.75
36,512,5.02
36,1024,5.66
36,2048,7.41
36,4096,10.18
36,8192,14.42
36,16384,24.57
36,32768,38.41
36,65536,72.00
36,131072,157.71
36,262144,289.62
36,524288,633.47
36,1048576,974.86
38,2,3.28
38,4,3.43
38,8,3.29
38,16,3.33
38,32,3.62
38,64,3.76
38,128,4.50
38,256,4.67
38,512,4.96
38,1024,5.64
38,2048,7.17
38,4096,10.01
38,8192,14.26
38,16384,24.06
38,32768,39.56
38,65536,69.42
38,131072,155.37
38,262144,307.69
38,524288,555.82
38,1048576,1075.20
40,2,3.14
40,4,3.61
40,8,3.10
40,16,3.15
40,32,3.43
40,64,3.70
40,128,4.41
40,256,4.58
40,512,4.82
40,1024,5.58
40,2048,7.02
40,4096,9.96
40,8192,14.45
40,16384,25.48
40,32768,39.33
40,65536,74.44
40,131072,155.66
40,262144,312.64
40,524288,630.14
40,1048576,1051.88
42,2,3.11
42,4,3.23
42,8,3.10
42,16,3.06
42,32,3.46
42,64,3.61
42,128,4.36
42,256,4.53
42,512,4.77
42,1024,5.52
42,2048,7.00
42,4096,10.10
42,8192,14.29
42,16384,24.76
42,32768,39.94
42,65536,72.79
42,131072,158.39
42,262144,314.41
42,524288,617.71
42,1048576,1006.45
44,2,2.89
44,4,3.01
44,8,2.94
44,16,2.93
44,32,3.26
44,64,3.48
44,128,4.22
44,256,4.40
44,512,4.67
44,1024,5.49
44,2048,6.96
44,4096,9.67
44,8192,14.25
44,16384,24.81
44,32768,40.08
44,65536,75.50
44,131072,158.79
44,262144,319.43
44,524288,615.18
44,1048576,1083.43
46,2,2.89
46,4,2.88
46,8,2.84
46,16,2.86
46,32,3.23
46,64,3.43
46,128,4.15
