Processes,Size,Latency
2,1,0.20
2,2,0.20
2,4,0.20
2,8,0.20
2,16,0.19
2,32,0.25
2,64,0.26
2,128,0.29
2,256,0.31
2,512,0.36
2,1024,0.43
2,2048,0.55
2,4096,0.85
2,8192,1.35
2,16384,3.16
4,1,0.54
4,2,0.56
4,4,0.54
4,8,0.55
4,16,0.57
4,32,0.77
4,64,0.69
4,128,1.12
4,256,1.16
4,512,1.32
4,1024,1.59
4,2048,2.43
4,4096,3.49
4,8192,5.20
4,16384,9.75
6,1,0.83
6,2,0.83
6,4,0.82
6,8,0.81
6,16,0.79
6,32,0.98
6,64,0.98
6,128,1.49
6,256,1.57
6,512,1.76
6,1024,2.10
6,2048,3.08
6,4096,4.27
6,8192,6.40
6,16384,11.48
8,1,0.96
8,2,0.95
8,4,0.90
8,8,0.95
8,16,0.95
8,32,1.23
8,64,1.18
8,128,1.80
8,256,1.85
8,512,2.19
8,1024,2.37
8,2048,3.44
8,4096,4.83
8,8192,7.34
8,16384,13.79
10,1,1.19
10,2,1.17
10,4,1.20
10,8,1.22
10,16,1.21
10,32,1.55
10,64,1.52
10,128,2.13
10,256,2.11
10,512,2.29
10,1024,2.77
10,2048,3.89
10,4096,5.47
10,8192,8.11
10,16384,15.40
12,1,1.17
12,2,1.18
12,4,1.19
12,8,1.15
12,16,1.19
12,32,1.46
12,64,1.50
12,128,2.20
12,256,2.19
12,512,2.28
12,1024,2.85
12,2048,3.97
12,4096,5.53
12,8192,8.23
12,16384,16.88
14,1,1.18
14,2,1.19
14,4,1.17
14,8,1.13
14,16,1.20
14,32,1.46
14,64,1.45
14,128,2.18
14,256,2.27
14,512,2.45
14,1024,3.05
14,2048,4.14
14,4096,5.81
14,8192,8.92
14,16384,16.54
16,1,1.19
16,2,1.20
16,4,1.17
16,8,1.17
16,16,1.19
16,32,1.74
16,64,1.58
16,128,2.41
16,256,2.35
16,512,2.56
16,1024,2.96
16,2048,4.23
16,4096,6.03
16,8192,9.02
16,16384,17.96
18,1,1.43
18,2,1.46
18,4,1.49
18,8,1.47
18,16,1.49
18,32,1.81
18,64,2.18
18,128,2.49
18,256,2.60
18,512,2.81
18,1024,3.28
18,2048,4.60
18,4096,6.49
18,8192,9.74
18,16384,19.29
20,1,1.51
20,2,1.46
