Processes,Latency
2,0.15
4,0.18
6,0.36
8,0.87
10,1.18
12,1.10
14,1.14
16,1.14
18,1.69
20,1.58
22,1.57
24,1.60
26,1.51
28,1.53
30,1.52
32,1.55
34,2.40
36,2.12
38,2.14
40,2.07
42,1.94
44,1.96
46,1.99
48,2.05
50,2.02
52,2.03
54,1.94
56,2.05
58,2.00
60,2.04
62,2.14
64,1.63
66,1.58
68,1.79
70,1.74
72,1.94
74,1.99
76,1.97
78,2.13
80,2.15
82,2.21
84,2.31
86,2.48
88,2.34
90,2.59
92,2.66
94,2.88
96,2.29
98,2.41
100,2.49
102,2.66
104,2.55
106,2.68
108,2.78
110,3.02
112,2.69
114,2.92
116,2.85
118,2.99
120,2.90
122,3.18
124,2.87
126,2.78
128,2.53
130,1.93
132,2.03
134,2.11
136,2.54
138,2.62
140,2.49
142,2.39
144,2.63
146,3.04
148,2.72
150,3.11
152,3.08
154,3.14
156,3.31
158,3.73
160,4.60
162,5.01
164,5.36
166,5.85
168,6.05
170,6.43
172,6.44
174,6.61
176,4.21
178,4.66
180,4.97
182,5.31
184,5.16
186,5.58
188,6.07
190,5.98
192,5.74
194,6.31
196,6.73
198,7.34
200,7.63
202,8.41
204,8.95
206,9.24
208,8.97
210,11.31
212,10.22
214,10.67
216,10.70
218,11.17
220,11.20
222,11.86
224,8.28
226,8.94
228,9.57
230,9.97
232,10.11
234,10.62
236,11.03
238,11.15
240,11.68
242,12.18
244,12.59
246,13.16
248,13.79
250,14.62
252,15.25
254,16.27
256,4.39
