Processes,Size,Latency
2,2,0.13
2,4,0.13
2,8,0.14
2,16,0.13
2,32,0.14
2,64,0.13
2,128,0.19
2,256,0.20
2,512,0.25
2,1024,0.27
2,2048,0.29
2,4096,0.41
2,8192,0.57
2,16384,3.76
2,32768,4.29
2,65536,5.99
2,131072,10.47
2,262144,24.68
2,524288,47.23
2,1048576,99.19
4,2,0.13
4,4,0.13
4,8,0.13
4,16,0.13
4,32,0.13
4,64,0.13
4,128,0.26
4,256,0.27
4,512,0.32
4,1024,0.33
4,2048,0.47
4,4096,0.67
4,8192,1.06
4,16384,4.05
4,32768,4.99
4,65536,7.66
4,131072,15.40
4,262144,33.91
4,524288,72.32
4,1048576,148.88
6,2,0.29
6,4,0.29
6,8,0.30
6,16,0.29
6,32,0.32
6,64,0.31
6,128,0.58
6,256,0.67
6,512,0.68
6,1024,0.74
6,2048,1.10
6,4096,1.67
6,8192,2.70
6,16384,5.71
6,32768,10.07
6,65536,19.75
6,131072,38.97
6,262144,90.29
6,524288,190.28
6,1048576,381.72
8,2,0.95
8,4,1.01
8,8,0.95
8,16,0.93
8,32,1.06
8,64,1.04
8,128,1.55
8,256,1.61
8,512,1.79
8,1024,1.83
8,2048,2.54
8,4096,3.45
8,8192,4.84
8,16384,6.94
8,32768,11.91
8,65536,24.44
8,131072,52.56
8,262144,113.24
8,524288,206.79
8,1048576,445.49
10,2,1.09
10,4,1.13
10,8,1.17
10,16,1.14
10,32,1.22
10,64,1.14
10,128,2.07
10,256,2.13
10,512,2.18
10,1024,2.42
10,2048,3.42
10,4096,4.65
10,8192,6.66
10,16384,8.65
10,32768,15.95
10,65536,30.23
10,131072,62.88
10,262144,141.93
10,524288,304.38
10,1048576,535.23
12,2,1.21
12,4,1.23
12,8,1.25
12,16,1.23
12,32,1.33
12,64,1.46
12,128,2.45
12,256,2.57
12,512,2.64
12,1024,2.83
12,2048,4.09
12,4096,5.70
12,8192,7.98
12,16384,8.72
12,32768,17.45
12,65536,35.58
12,131072,77.39
12,262144,174.22
12,524288,345.91
12,1048576,532.69
14,2,1.46
14,4,1.42
14,8,1.52
14,16,1.40
14,32,1.51
14,64,1.53
14,128,2.93
14,256,3.11
14,512,3.12
14,1024,3.41
14,2048,4.87
14,4096,6.79
14,8192,9.61
14,16384,10.41
14,32768,22.77
14,65536,45.88
14,131072,94.14
14,262144,175.05
14,524288,401.50
14,1048576,789.41
16,2,1.73
16,4,1.66
16,8,1.61
16,16,1.62
16,32,1.81
16,64,1.82
16,128,3.10
16,256,3.23
16,512,3.50
16,1024,3.94
16,2048,5.70
16,4096,7.92
16,8192,11.04
16,16384,11.26
16,32768,22.47
16,65536,47.65
16,131072,107.00
16,262144,227.96
16,524288,391.01
16,1048576,859.83
18,2,1.96
18,4,1.95
18,8,1.92
18,16,1.95
18,32,2.09
18,64,2.10
18,128,3.51
18,256,3.68
18,512,3.95
18,1024,4.41
18,2048,6.55
18,4096,8.90
18,8192,12.67
18,16384,14.06
18,32768,26.33
18,65536,62.57
18,131072,128.00
18,262144,256.11
18,524288,485.88
18,1048576,843.98
20,2,2.02
20,4,1.98
20,8,2.02
20,16,2.02
20,32,2.25
20,64,2.22
20,128,4.18
20,256,4.33
20,512,4.71
20,1024,4.99
20,2048,7.30
20,4096,10.04
20,8192,14.19
20,16384,14.29
20,32768,27.23
20,65536,57.48
20,131072,139.23
20,262144,288.75
20,524288,473.55
20,1048576,1057.57
22,2,2.19
22,4,2.19
22,8,2.17
22,16,2.23
22,32,2.57
22,64,2.33
22,128,4.76
22,256,5.07
22,512,5.20
22,1024,5.84
22,2048,8.40
22,4096,11.32
22,8192,15.96
22,16384,15.37
22,32768,33.06
22,65536,71.15
22,131072,156.56
22,262144,312.67
22,524288,637.39
22,1048576,987.09
24,2,2.48
24,4,2.42
24,8,2.38
24,16,2.56
24,32,2.61
24,64,2.59
24,128,5.22
24,256,5.38
24,512,5.61
24,1024,6.26
24,2048,9.14
24,4096,12.34
24,8192,17.50
24,16384,16.54
24,32768,39.79
24,65536,81.50
24,131072,169.03
24,262144,340.25
24,524288,702.32
24,1048576,1259.45
26,2,2.37
26,4,2.37
26,8,2.64
26,16,2.43
26,32,2.89
26,64,2.65
26,128,5.60
26,256,5.70
26,512,6.09
26,1024,6.72
26,2048,9.87
26,4096,13.50
26,8192,18.91
26,16384,19.31
26,32768,41.94
26,65536,110.67
26,131072,191.42
26,262144,371.38
26,524288,651.48
26,1048576,1408.16
28,2,2.68
28,4,2.74
28,8,2.66
28,16,2.74
28,32,2.97
28,64,2.89
28,128,6.19
28,256,6.29
28,512,6.77
28,1024,7.49
28,2048,10.86
28,4096,14.58
28,8192,20.65
28,16384,20.05
28,32768,48.12
28,65536,98.99
28,131072,200.45
28,262144,408.90
28,524288,815.04
28,1048576,1459.43
30,2,2.94
30,4,2.78
30,8,2.75
30,16,2.75
30,32,2.97
30,64,3.09
30,128,6.41
30,256,6.66
30,512,7.10
30,1024,8.11
30,2048,11.60
30,4096,15.57
30,8192,22.25
30,16384,20.60
30,32768,50.94
30,65536,104.89
30,131072,218.53
