Processes,Size,Latency
64,2,2.35
64,4,2.40
64,8,2.37
64,16,2.31
64,32,2.91
64,64,2.89
64,128,4.12
64,256,4.15
64,512,4.64
64,1024,5.09
64,2048,7.84
64,4096,13.83
64,8192,23.73
64,16384,63.54
64,32768,112.90
64,65536,212.96
64,131072,430.38
64,262144,861.71
64,524288,1445.47
64,1048576,2804.38
128,2,3.83
128,4,3.76
128,8,3.74
128,16,4.00
128,32,4.29
128,64,4.21
128,128,6.03
128,256,6.38
128,512,6.58
128,1024,6.76
128,2048,10.17
128,4096,19.03
128,8192,35.51
128,16384,96.05
128,32768,182.99
128,65536,354.65
128,131072,689.15
128,262144,1309.13
128,524288,2289.54
128,1048576,4346.19
256,2,5.70
256,4,5.73
256,8,5.52
256,16,5.58
256,32,6.16
256,64,9.24
256,128,10.55
256,256,11.10
256,512,14.77
256,1024,17.49
256,2048,27.00
256,4096,46.16
256,8192,87.41
256,16384,222.20
256,32768,311.31
256,65536,591.69
256,131072,1222.29
256,262144,2308.86
256,524288,4712.89
256,1048576,11213.85
