Processes,Size,Latency
2,2,0.16
2,4,0.16
2,8,0.16
2,16,0.16
2,32,0.16
2,64,0.16
2,128,0.22
2,256,0.22
2,512,0.24
2,1024,0.26
2,2048,0.31
2,4096,0.40
2,8192,0.57
2,16384,3.73
2,32768,4.29
2,65536,5.83
2,131072,10.84
2,262144,21.19
2,524288,43.08
2,1048576,82.08
4,2,0.18
4,4,0.18
4,8,0.18
4,16,0.18
4,32,0.18
4,64,0.19
4,128,0.32
4,256,0.31
4,512,0.33
4,1024,0.40
4,2048,0.51
4,4096,0.70
4,8192,1.05
4,16384,6.18
4,32768,7.53
4,65536,10.66
4,131072,17.38
4,262144,34.71
4,524288,71.67
4,1048576,140.99
8,2,0.89
8,4,0.87
8,8,0.93
8,16,0.95
8,32,0.97
8,64,0.99
8,128,1.32
8,256,1.31
8,512,1.43
8,1024,1.55
8,2048,2.10
8,4096,2.74
8,8192,4.93
8,16384,12.54
8,32768,18.15
8,65536,35.95
8,131072,70.18
8,262144,140.12
8,524288,267.24
8,1048576,528.41
16,2,1.16
16,4,1.09
16,8,1.08
16,16,1.10
16,32,1.34
16,64,1.30
16,128,1.78
16,256,1.86
16,512,2.08
16,1024,2.41
16,2048,3.10
16,4096,5.30
16,8192,10.17
16,16384,18.28
16,32768,30.96
16,65536,58.06
16,131072,112.73
16,262144,225.98
16,524288,442.52
16,1048576,912.42
32,2,1.58
32,4,1.58
32,8,1.56
32,16,1.54
32,32,1.80
32,64,1.72
32,128,2.55
32,256,2.72
32,512,2.94
32,1024,3.28
32,2048,4.30
32,4096,8.24
32,8192,16.57
32,16384,29.06
32,32768,53.58
32,65536,102.22
32,131072,202.97
32,262144,404.63
32,524288,792.21
32,1048576,1520.54
64,2,1.67
64,4,1.62
64,8,1.67
64,16,1.75
64,32,2.12
64,64,2.12
64,128,2.93
64,256,3.12
64,512,3.42
64,1024,3.77
64,2048,5.33
64,4096,11.19
64,8192,22.88
64,16384,45.62
64,32768,83.83
64,65536,167.42
64,131072,331.93
64,262144,695.52
64,524288,1193.43
64,1048576,2233.46
128,2,2.81
128,4,2.68
128,8,2.50
128,16,2.68
128,32,2.84
128,64,3.01
128,128,4.64
128,256,4.54
128,512,5.27
128,1024,4.87
128,2048,7.62
128,4096,16.92
128,8192,33.08
128,16384,64.98
128,32768,126.21
128,65536,260.63
128,131072,540.17
128,262144,1137.24
128,524288,2213.34
