Processes,Size,Latency
2,2,0.16
2,4,0.15
2,8,0.15
2,16,0.15
2,32,0.16
2,64,0.16
2,128,0.25
2,256,0.25
2,512,0.29
2,1024,0.32
2,2048,0.36
2,4096,0.48
2,8192,0.70
2,16384,1.34
2,32768,2.44
2,65536,4.48
2,131072,9.08
2,262144,28.38
2,524288,57.32
2,1048576,111.72
4,2,0.62
4,4,0.62
4,8,0.62
4,16,0.67
4,32,0.70
4,64,1.10
4,128,1.16
4,256,1.27
4,512,1.44
4,1024,1.85
4,2048,2.56
4,4096,3.76
4,8192,6.46
4,16384,11.15
4,32768,22.16
4,65536,41.52
4,131072,68.08
4,262144,133.58
4,524288,266.59
4,1048576,519.23
8,2,1.67
8,4,1.69
8,8,1.79
8,16,1.75
8,32,2.29
8,64,2.46
8,128,2.92
8,256,3.22
8,512,3.83
8,1024,5.01
8,2048,7.03
8,4096,11.03
8,8192,18.71
8,16384,33.82
8,32768,60.91
8,65536,74.74
8,131072,188.22
8,262144,396.30
8,524288,740.73
8,1048576,1400.96
16,2,1.96
16,4,2.21
16,8,2.37
16,16,2.51
16,32,2.86
16,64,3.19
16,128,3.71
16,256,4.17
16,512,5.14
16,1024,7.27
16,2048,11.17
16,4096,18.80
16,8192,33.84
16,16384,61.43
16,32768,95.01
16,65536,260.61
16,131072,518.38
16,262144,1068.59
16,524288,1953.50
16,1048576,3924.56
32,2,2.38
32,4,2.67
32,8,2.75
32,16,3.19
32,32,3.69
32,64,3.96
32,128,4.60
32,256,5.64
32,512,7.70
32,1024,11.47
32,2048,19.60
32,4096,32.44
32,8192,60.91
32,16384,117.31
32,32768,226.70
32,65536,505.24
32,131072,1272.02
32,262144,2106.99
32,524288,4043.61
32,1048576,7860.16
64,2,2.00
64,4,2.35
64,8,2.40
64,16,2.83
64,32,3.46
64,64,4.03
64,128,4.45
64,256,6.76
64,512,11.18
64,1024,17.79
64,2048,33.67
64,4096,66.47
64,8192,113.24
64,16384,239.25
64,32768,443.73
64,65536,989.23
64,131072,1964.40
64,262144,3749.05
64,524288,7283.55
