Processes,Size,Latency
2,2,0.19
2,4,0.19
2,8,0.18
2,16,0.19
2,32,0.23
2,64,0.26
2,128,0.31
2,256,0.32
2,512,0.36
2,1024,0.41
2,2048,0.57
2,4096,0.85
2,8192,1.62
2,16384,2.87
2,32768,5.19
2,65536,10.19
2,131072,14.21
2,262144,24.95
2,524288,48.21
2,1048576,113.28
4,2,0.44
4,4,0.45
4,8,0.44
4,16,0.48
4,32,0.63
4,64,0.70
4,128,0.92
4,256,1.03
4,512,1.22
4,1024,1.65
4,2048,2.54
4,4096,3.80
4,8192,6.17
4,16384,10.94
4,32768,12.12
4,65536,17.65
4,131072,34.19
4,262144,43.62
4,524288,155.99
4,1048576,227.78
6,2,0.64
6,4,0.61
6,8,0.61
6,16,0.66
6,32,0.70
6,64,0.82
6,128,1.23
6,256,1.29
6,512,1.55
6,1024,2.10
6,2048,3.53
6,4096,4.71
6,8192,8.27
6,16384,14.95
6,32768,13.91
6,65536,31.29
6,131072,61.23
6,262144,114.97
6,524288,195.38
6,1048576,353.31
8,2,0.90
8,4,0.85
8,8,0.91
8,16,0.97
8,32,1.15
8,64,1.30
8,128,1.60
8,256,1.85
8,512,2.24
8,1024,2.98
8,2048,4.43
8,4096,6.65
8,8192,11.10
8,16384,11.30
8,32768,17.69
8,65536,38.09
8,131072,80.16
8,262144,141.67
8,524288,220.63
8,1048576,457.08
10,2,1.08
10,4,1.07
10,8,1.16
10,16,1.18
10,32,1.37
10,64,1.58
10,128,1.88
10,256,2.17
10,512,2.55
10,1024,3.37
10,2048,5.05
10,4096,7.19
10,8192,11.75
10,16384,13.69
10,32768,21.88
10,65536,46.72
10,131072,62.84
10,262144,149.21
10,524288,268.45
10,1048576,549.78
12,2,1.04
12,4,1.03
12,8,1.14
12,16,1.13
12,32,1.34
12,64,1.57
12,128,1.91
12,256,2.16
12,512,2.69
12,1024,3.62
12,2048,5.27
12,4096,8.12
12,8192,13.43
12,16384,14.14
12,32768,26.72
12,65536,53.47
12,131072,69.41
12,262144,187.25
12,524288,196.54
12,1048576,645.77
14,2,1.00
14,4,1.02
14,8,1.06
14,16,1.24
14,32,1.33
14,64,1.84
14,128,2.00
14,256,2.27
14,512,2.78
14,1024,3.98
14,2048,6.06
14,4096,9.17
14,8192,15.29
14,16384,17.55
14,32768,28.71
14,65536,59.65
14,131072,131.12
14,262144,153.02
14,524288,262.51
14,1048576,746.15
16,2,1.11
16,4,1.19
16,8,1.20
16,16,1.34
16,32,1.60
16,64,1.71
16,128,2.35
16,256,2.54
16,512,3.28
16,1024,4.86
16,2048,7.08
16,4096,10.86
16,8192,18.40
16,16384,34.11
16,32768,32.58
16,65536,51.78
16,131072,131.70
16,262144,179.48
16,524288,262.84
16,1048576,245.17
18,2,1.46
18,4,1.44
18,8,1.55
18,16,1.68
18,32,1.83
18,64,2.31
18,128,2.61
18,256,2.92
18,512,3.72
18,1024,5.20
18,2048,7.63
18,4096,11.37
18,8192,19.13
18,16384,37.33
18,32768,37.65
18,65536,77.51
18,131072,153.82
18,262144,155.76
18,524288,205.99
18,1048576,273.28
20,2,1.35
20,4,1.38
20,8,1.39
20,16,1.59
20,32,1.78
20,64,2.38
20,128,2.50
20,256,2.90
20,512,3.61
20,1024,5.23
20,2048,7.61
20,4096,12.04
20,8192,20.09
20,16384,40.61
20,32768,41.23
20,65536,56.71
20,131072,111.65
20,262144,179.78
20,524288,240.04
20,1048576,260.15
22,2,1.23
22,4,1.24
22,8,1.31
22,16,1.50
22,32,1.81
22,64,2.00
22,128,2.49
22,256,2.84
22,512,3.69
22,1024,5.25
22,2048,7.97
22,4096,12.45
22,8192,21.40
22,16384,43.66
22,32768,42.33
22,65536,78.47
22,131072,125.02
22,262144,165.96
22,524288,215.55
22,1048576,280.89
24,2,1.29
24,4,1.35
24,8,1.33
24,16,1.60
24,32,1.98
24,64,1.95
24,128,2.48
24,256,2.83
24,512,3.83
24,1024,5.69
24,2048,8.67
24,4096,13.52
24,8192,23.73
24,16384,47.56
24,32768,46.53
24,65536,98.23
24,131072,133.48
24,262144,187.20
24,524288,241.12
24,1048576,279.89
26,2,1.54
26,4,1.51
26,8,1.68
26,16,1.74
26,32,1.88
26,64,2.13
26,128,2.66
26,256,2.97
26,512,3.96
26,1024,5.84
26,2048,8.86
26,4096,14.29
26,8192,24.91
26,16384,50.23
26,32768,46.03
26,65536,60.43
26,131072,120.07
26,262144,160.45
26,524288,211.02
26,1048576,265.11
28,2,1.24
28,4,1.31
28,8,1.42
28,16,1.43
28,32,1.78
28,64,1.97
28,128,2.46
28,256,2.90
28,512,4.02
28,1024,6.39
28,2048,9.25
28,4096,15.86
28,8192,27.38
28,16384,54.10
28,32768,46.55
28,65536,95.81
28,131072,125.22
28,262144,169.43
28,524288,260.02
28,1048576,295.99
30,2,1.07
30,4,1.14
30,8,1.54
30,16,1.33
30,32,1.51
30,64,1.88
30,128,2.44
30,256,2.95
30,512,4.22
30,1024,6.62
30,2048,11.14
30,4096,16.43
30,8192,28.72
30,16384,56.68
30,32768,43.67
30,65536,62.64
30,131072,123.79
30,262144,173.88
30,524288,248.11
30,1048576,372.85
32,2,1.67
32,4,1.66
32,8,1.82
32,16,2.04
32,32,2.28
32,64,2.63
32,128,3.32
32,256,4.11
32,512,9.27
32,1024,12.23
32,2048,15.49
32,4096,21.88
32,8192,34.17
32,16384,25.59
32,32768,44.13
32,65536,64.57
32,131072,123.55
32,262144,174.15
32,524288,301.87
32,1048576,437.88
34,2,3.71
34,4,4.33
34,8,3.95
34,16,3.97
34,32,4.35
34,64,4.80
34,128,5.54
34,256,6.39
34,512,11.36
34,1024,14.34
34,2048,17.42
34,4096,23.66
34,8192,35.59
34,16384,28.38
34,32768,45.54
34,65536,76.65
34,131072,135.38
34,262144,189.18
34,524288,316.53
34,1048576,495.98
36,2,3.44
36,4,3.98
36,8,3.67
36,16,3.70
36,32,4.19
36,64,4.56
36,128,5.30
36,256,6.18
36,512,11.28
36,1024,14.56
36,2048,18.04
36,4096,24.54
36,8192,35.53
36,16384,28.68
36,32768,45.94
36,65536,91.44
36,131072,145.94
36,262144,221.02
36,524288,365.03
36,1048576,589.30
38,2,3.24
38,4,3.52
38,8,3.45
38,16,3.55
38,32,3.88
38,64,4.36
38,128,5.10
38,256,6.12
38,512,11.50
38,1024,14.66
38,2048,18.76
38,4096,25.48
38,8192,35.95
38,16384,27.74
38,32768,46.48
38,65536,91.51
38,131072,167.08
38,262144,231.31
38,524288,413.82
38,1048576,692.92
40,2,3.20
40,4,3.47
40,8,3.34
40,16,3.38
40,32,3.89
40,64,4.23
40,128,4.97
40,256,6.02
40,512,11.93
40,1024,15.07
40,2048,18.88
40,4096,25.66
40,8192,36.99
40,16384,29.66
40,32768,39.41
40,65536,76.52
40,131072,161.49
40,262144,259.94
40,524288,473.60
40,1048576,794.07
42,2,2.97
42,4,3.18
42,8,3.16
42,16,3.27
42,32,3.71
42,64,4.08
42,128,4.73
42,256,5.76
42,512,11.73
42,1024,15.12
42,2048,19.08
42,4096,26.09
42,8192,37.27
42,16384,29.64
42,32768,48.04
42,65536,96.17
42,131072,173.22
42,262144,299.78
42,524288,507.58
42,1048576,904.61
44,2,2.88
44,4,3.00
44,8,3.05
44,16,3.17
44,32,3.66
44,64,3.94
44,128,4.79
44,256,5.75
44,512,11.77
44,1024,15.52
44,2048,19.78
44,4096,27.29
44,8192,38.21
44,16384,29.49
44,32768,49.64
44,65536,100.56
44,131072,181.50
44,262144,302.51
44,524288,548.30
44,1048576,1002.00
46,2,2.76
46,4,3.19
46,8,3.06
46,16,3.13
46,32,3.55
46,64,3.87
46,128,4.65
